函数名,调用次数,总耗时(ms),平均耗时(ms),最小耗时(ms),最大耗时(ms)
数据读取,1,11414.82,11414.82,11414.82,11414.82
barra_cne5_1_beta::Update,4,61.27,15.32,14.05,16.70
Update::更新beta值窗口,4,42.65,10.66,9.86,11.89
barra_cne5_1_beta::Init,1,31.88,31.88,31.88,31.88
Init::构建beta值窗口,1,21.97,21.97,21.97,21.97
Update::构建市场收益率,4,6.05,1.51,1.28,1.94
Init::构建市场收益率,1,3.83,3.83,3.83,3.83
Update::winsor处理,4,1.86,0.46,0.42,0.56
Init::winsor处理,1,0.85,0.85,0.85,0.85
Update::分位数缩尾,4,0.15,0.04,0.04,0.04
Init::分位数缩尾,1,0.05,0.05,0.05,0.05
Update::标准化,4,0.05,0.01,0.01,0.01
Init::标准化,1,0.01,0.01,0.01,0.01
Update::有效性检测,4,0.00,0.00,0.00,0.00
Init::有效性检测,1,0.00,0.00,0.00,0.00
